week,date,home_team,away_team,location,status
1,2025-08-08,Galatasaray,Fenerbahçe,Rams Park,scheduled
1,2025-08-09,Beşiktaş,Trabzonspor,Tüpraş Stadyumu,scheduled
1,2025-08-09,Samsunspor,Göztepe,19 Mayıs Stadyumu,scheduled
1,2025-08-10,Başakşehir,Antalyaspor,Başakşehir Fatih Terim Stadyumu,scheduled
1,2025-08-10,Kayserispor,Konyaspor,RHG Enertürk Enerji Stadyumu,scheduled
1,2025-08-10,Eyüpspor,Kasımpaşa,Atatürk Olimpiyat Stadyumu,scheduled
1,2025-08-11,Gaziantep FK,Alanyaspor,Kalyon Stadyumu,scheduled
1,2025-08-11,Çaykur Rizespor,Kocaelispor,Çaykur Didi Stadyumu,scheduled
1,2025-08-11,Fatih Karagümrük,Gençlerbirliği,Atatürk Olimpiyat Stadyumu,scheduled
2,2025-08-15,Fenerbahçe,Beşiktaş,Şükrü Saracoğlu,scheduled
2,2025-08-16,Trabzonspor,Galatasaray,Papara Park,scheduled
2,2025-08-16,Göztepe,Başakşehir,Gürsel Aksel Stadyumu,scheduled
